project;plan
views_flexbox;"This project has been marked as compatible with Drupal 9. See [#3125649]"
campaignmonitor;"Read more about this project’s readiness at [#3146377] and [#3149575]."
hover_effects;"Available for Drupal 9"
group_content_menu;"Support Drupal 8 and Drupal 9."
webform_civicrm;"Webform CiviCRM 8.x-5.x works with and has automated testing for Drupal 9!"
catalog_lite;"The theme is fully compatible with Drupal 9"
smart_date_starter_kit;"This module only provides configuration, so nothing should be need to be updated for Drupal 9."
radioactivity;"The current 8.x-3.x development release is Drupal 9 compatible. The next release after 8.x-3.0-alpha5 will be Drupal 9 compatible."
message_banner;"<a href=""https://www.drupal.org/project/message_banner/releases/8.x-1.1"">Release 1.1</a> adds Drupal 9 compatibility. It's now ready for use on D9!"
pet;"Please help in finishing Drupal 8 issues, so this module can be ported to Drupal9."
user_field_value;"I think views core should merge this."
colors;"Compatible since version 8.x-1.0-beta1"
layout_builder_save_and_edit;"This module is Drupal 9 compatible 🍻"
spamicide;"Drupal 9 is also supported."
n1ed;"N1ED is ready for Drupal 9"
get_tweets;"Release <code>8.x-1.2-beta1</code> is D9 compatible!"
merge_translations;"Merge translations is ready for Drupal 9 :)"
media_thumbnail_url_formatter;"media_thumbnail_url_formatter >= 2.0.0 supports Drupal 9."
country_state_city;"Module is compatible with Drupal 9."
views_node_access_filter;"This module is Drupal 9 ready."
gridstack;"GridStack 8.x-2.x supports Drupal 9. Enjoy."
metatag_google_scholar;"No known Drupal 9 compatibility issues."
json_feed;"Drupal 9 is supported as of version 1.2."
logging_alerts;"Logging and alerts 8.x-1.0+ supports Drupal 9."
changed_fields;"Drupal 9 compatible"
better_login_form_config;"8.x-2.x is Drupal 9 compatible"
simple_user_management;"This module is Drupal 9 ready."
api_tokens;"8.x-2.1+ is Drupal 9 compatible."
obfuscate;"8.x-1.x is Drupal 9 compatible."
mixitup_views;"The module supports Drupal 9 starting from the 8.x-1.12 release.  Starting from the 8.x-2.0 branch Composer 2.0 support added."
edux;"Edu X Theme is compatible with Drupal 9 also."
miniorange_oauth_client;"<strong>Currently no known issues with Drupal 9.</strong>"
convert_media_tags_to_markup;"<p>This project is Drupal 9 ready.</p>"
social_wall;"This module is Drupal 9 ready."
smart_date_calendar_kit;"This module is Drupal 9 ready."
format_bytes;"Works out of the box with Drupal 9"
map_widget;"8.x-1.1+ is Drupal 9 compatible."
improve_line_breaks_filter;"This module supports Drupal 9."
miniorange_2fa;"<strong>This (8.x) module is compatible with Drupal 9.</strong>"
video_embed_field_plyr;"This module should work on Drupal 9 after the module info and composer.json are updated."
webform_iban_field;"This module should be ready for D9. See issue [#3124105]."
page_title_visibility;"This module is compatible with Drupal 9! See [#3130312]"
rules_user_fields;"The module cannot be compatible with Drupal 9 until the Rules module will be compatible. See https://www.drupal.org/project/drupal/issues/3126747"
elevatezoomplus;"ElevateZoom Plus 8.x supports Drupal 9. Enjoy."
virtual_tour;"2.0.0-alpha1+ are compatible with Drupal 9."
dynamictagclouds;"Drupal 9 compatible from 8.x-2.1 version."
layout_builder_kit;"Ready for D9."
fieldable_path;"Compatible with Drupal 9 as of <a href=""/project/fieldable_path/releases/8.x-1.0-rc6"">8.x-1.0-rc6</a>."
wysiwyg_mediaembed;"This has been updated for Drupal 9 compatibility, file an issue if there are problems."
cookie_content_blocker;"8.x-1.6+ is Drupal 9 compatible."
error_log;"The 8.x-1.x branch of this module supports Drupal 9."
ckeditor_format_buttons;"This module is Drupal 9 ready."
slick_carousel_slider;"Available for Drupal 9."
better_module_dependencies;"<a href=""https://www.drupal.org/project/better_module_dependencies/issues/3103473"">#3103473: Add new key core_version_requirement in better_module_dependencies.info.yml </a>"
upgrade_rector;"8.x-1.0-alpha4 onwards is Drupal 9 compatible."
visually_impaired_module;"8.x-1.3+ is Drupal 9 compatible."
redirect_after_registration;"Not yet started."
anonymous_token;"Release <code>2.0.0</code> is D9 compatible!"
rng_quick;"Not yet."
sitemeta;"This module is Drupal 9 ready."
twig_typography;"This module is ready for Drupal 9."
domain_menus;"Use 8.x-2.0."
dimension;"This project is ready for Drupal 9"
loqate;"Releases <code>8.x-1.6-alpha1</code> and <code>2.0.0</code> are D9 compatible!"
smart_title;"Smart Title is compatible with Drupal 9."
formassembly;"Version 1.2+ is tested on D9"
stripe_api;"This module is Drupal 9 compatible."
erd;"This module is Drupal 9 ready."
webform_invitation;"Drupal 9 is fully supported since version 1.1."
config_single_export;"Module should be ready for Drupal 9. See [#3099570]"
ipless;"This module is ready for Drupal 9."
paragraphs_table;"ready for drupal 9"
visually_impaired_theme;"8.x-1.3+ is Drupal 9 compatible."
webform_validation;"Help port this project at [#2220971]."
onomasticon;"Drupal 9 is fully supported since version 1.5."
ueditor;"Already updated done! enjoy!"
webform_simplenews_handler;[#3084207]
svg_upload_sanitizer;"This module already supports Drupal 9."
gacsp;"Use this project instead: <a href=""https://www.drupal.org/project/ga"">Googalytics</a>"
jquery_ui_selectmenu;"8.x-1.2+ is Drupal 9 compatible."
abjs;Enjoy!
prevnext;"To fully support Drupal 9, the Prevnext module will be tagging a 2.0.0 release. This release will remove deprecated code and fix any backward compatibility breaking issues"
porterstemmer;"This project is compatible with Drupal 9."
webform_remote_handlers;"Work in progress to fully support this module in Drupal 9"
smart_read_more_link;[#3082517]
ds_chains;"This module is ready for Drupal 9 as of 8.x-1.1!"
google_calendar;"The module is ready for Drupal 9."
uiplog;"Being done, see [#3141992] & [#3139360]."
recipe;"Versions 8.x-2.0-alpha3 and higher are compatible with Drupal 9!"
bootstrap_horizontal_tabs;"Read about this project's readiness at [#3130321]"
rng_date_scheduler;"Not yet supported."
user_online_status;"User Online Status is ready for Drupal 9."
civicccookiecontrol;"This module is compatible with drupal 9."
hierarchy_manager;"Hierarchy Manager 2.0.0 supports Drupal 9."
bulk_copy_fields;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
instagram_graph;"This module is compatible with Drupal 9."
paragraphs_modal_edit;"This module is ready for D9!"
guardr_core;"Guardr Core is Drupal 9 compatible starting with release <a href=""https://www.drupal.org/project/guardr_core/releases/8.x-1.0-beta3"">8.x-1.0-beta3</a> Note: Not all projects included with Guardr and Guardr Core are Drupal 9 compatible at this time. Drupal 9 related work for Guardr: <a href=""https://www.drupal.org/project/guardr/issues/3107871"">[META] Drupal 9 release plan for Guardr</a>"
prometheus_exporter;"The 8.x-1.x branch is compatible with Drupal 9"
fallback_formatter;"This module is Drupal 9 ready."
entity_comparison;"This module already supports Drupal 9"
ckeditor_blockimagepaste;"This project is Drupal 9 ready!"
chatbot_api;"Drupal 9 compatible since version 2.0-rc2 ."
data;"Help port this project at [#3088972]"
user_login_persistent_destination;"Ready for Drupal 9 :-)"
theme_breakpoints_js;"The latest beta release is compatible with D9. Feel free to test it and report back in the issue queue if you have any problems or if it works well for you."
varbase_auth;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_auth?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
twitter_profile_widget;"This module is Drupal 9 compatible"
graphql_twig;[#3107672]
marketing_cloud;"This project is Drupal 9 ready"
search_api_stats;"This module has been updated for Drupal 9. Please open an issue if you encounter any challenges."
version_information;"This module is Drupal 9 compatible 🍻"
readmore;"For stable release planning, see [#3099855].  Help is welcome!"
d8_recaptcha_v3;"This module is compatible with Drupal 9."
video_embed_jwplayer;"Use 1.0+ of this module"
image_base64_formatter;[#3082557]
foldershare;"FolderShare is compatible with Drupal 9 since 1.4+ and maintains compatibility with Drupal 8.7+"
animated_scroll_to;"The dev version and the 1.3 branch is compatible with Drupal 9 requirements."
api_ai_webhook;"Drupal 9 is fully supported from version 2.0-rc4."
search_api_opensolr;"Search API opensolr supports Drupal 8 and 9 in parallel."
scrollup;"This module is ready for Drupal 9 (<a href=""https://www.drupal.org/project/scrollup/issues/3148699"" title=""#3148699 Automated Drupal 9 compatibility""><del>#3148699 Automated Drupal 9 compatibility</del></a>)"
commerce_shipping_weight_tariff;"Module versions from <strong>8.x-2.0-alpha1+</strong> are Drupal Core <strong>8.8.*+</strong> compatible Module versions till <strong>8.x-1.0-alpha5</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong>"
content_feedback;"Content Feedback 8.x-1.3+ supports Drupal 9."
flexible_views;"The code of this project is Drupal 9 ready!"
external_data_source;"Use the 3.x.x version."
imagefield_default_alt_and_title;"This module is Drupal 9 ready!"
o365;"This module is compatible with Drupal 9"
varbase_media_header;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_media_header?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
protect_form_flood_control;"Drupal 9 compatible"
social_feed_fetcher;"<strong>Social feed fetcher</strong> module is compatible with Drupal 9"
guesthouse_lite;"The theme is fully compatible with Drupal 9"
entity_save_and_addanother;"This module is Drupal 9 compatible 🍻"
raw_formatter;"2.0.0 is Drupal 9 compatible."
flipping_book;"Help port this project at [#3186534]"
commerce_purchase_order;"D9 compatible and verified by automated testing."
form_display_field_machine_name;"Form Display Field Machine Name 8.x-1.2+ supports Drupal 9. Enjoy."
admin_menu_search;"Drupal 9 compatible from 8.x-1.1 version."
http_client_error_status;"Please use version 2.x for full Drupal 9 compatibility."
feed_block;"This module is Drupal 9 compatible! See [#3130335]"
menu_link;[#3199076]
cocoen_beforeafter;"Drupal 9 is also supported."
metatag_head_title;"Release 1.1 should work with D9."
permission_spreadsheet;"Ｄｒｕｐａｌ 9 has been supported since version 8.x-1.1."
orejime;"Orejime is Drupal 9 compatible."
simple_entity_merge;"Compatible with Drupal 9 since version 8.x-1.1"
taxonomy_term_revision;"Drupal 9 compatible!🎉"
closeblock;"<a href=""https://www.drupal.org/project/closeblock/issues/3103467"">#3103467: Add new key core_version_requirement in closeblock.info.yml</a>"
taxonomy_bootstrap_accordion;"This module is Drupal 9 ready!"
prev_next;"Previous/Next API 8.x-2.0-alpha1+ supports Drupal 9."
recurring_donation;"Release <code>8.x-2.1</code> is D9 compatible!"
shorthand;"<code>2.0</code> has Drupal 9 support."
table_field_group;"Need to test"
template_whisperer;"Template Whisperer is already ready for Drupal 9 - see the issue [#3090756]"
ldap_auth;"<strong>Currently no known issues with Drupal 9.</strong>"
intense;"Intense 8.x-2.x supports Drupal 9. Enjoy."
user_account_language_negotiation;"Fully compatible with Drupal 9 since release 8.x-1.4."
pwned_passwords;"The maintainer will trying to keep the module D9 ready from the launch day. Please report any issues and follow the D9 port in this issue: [#3091420]"
video_embed_media_player;"Fully compatible with Drupal 9!"
ckeditor_accessibility_auditor;"This module is ready for Drupal 9."
system_tags;"Full support as of 8.x-1.8."
organigrams;"All 8.x versions are compatible with Drupal 9."
cloudfront_purger;"The 8.x-1.x branch is compatible with Drupal 9."
social_auth_github;"Version 3.0.0 supports Drupal 9."
search_overrides;"This module is Drupal 9 ready."
filemime;"The 8.x-1.x branch of this module supports Drupal 9."
hide_submit_d8;"8.x-1.1 release is compatible with Drupal 9."
gmap_store_locator;"This module is Drupal 9 ready."
seeds_coat;"Seeds Coat supports Drupal 9. Enjoy."
auto_alter;"Version 8.x-1.10 and above are Drupal 9 compatible!"
civic_accessibility_toolbar;"This module is compatible with drupal 9."
taxonomy_max_depth;"Drupal 9 is supported since 8.x-1.1."
computed_field_plugin;"This module is compatible with D9, yay!"
migrate_skip_on_404;"Drupal 9 supported."
basket;"This module has been updated to work with the store on Drupal 9."
bootstrap_italia;"Bootstrap_italia 8.x-0.14 and later are compatible with Drupal 9. Please use Components 2.0 https://www.drupal.org/project/components"
queue_order;"The project is ready for Drupal 9 🎉🎉🎉"
config_auto_export;"This project is ready for Drupal 9"
rules_send_big_email;"The module cannot be compatible with Drupal 9 until the Rules module will be compatible. See https://www.drupal.org/project/drupal/issues/3126747"
rules_data_exchanger;"The module cannot be compatible with Drupal 9 until the Rules module will be compatible. See https://www.drupal.org/project/drupal/issues/3126747"
epp;"<em>Entity Prepopulate</em> is D9 ready."
logouttab;"The module is compatible with 9.0"
geocoder_ajax_prepopulate;"This module is Drupal 9 ready."
entity_overlay;"8.x-1.x is Drupal 9 compatible."
purge_queues;"This module is compatible with Drupal 9."
featurepolicy;"Compatible with Drupal 9"
imce_private;"2019-10-15: No drupal-check errors in this module"
autofloat;"Tested on Drupal 9 and confirmed fully functional."
logout_redirect;"Fully Drupal 9 compatible as of 8.x-1.x."
polyfill;"8.x-1.x-dev is Drupal 9 compatible."
custom_markup_block;"This module is compatible with Drupal 9 from version 1.1 onwards"
webform_mautic;"Ready for Drupal 9."
ip_ban;"Please test the current dev branch for the D9 version should be released soon!"
jira_issue_collector;"Jira Issue Collector is Drupal 9 compatible."
enhanced_button_link;"Enhanced Button Link 8.x-1.0+ supports Drupal 9."
shortcut_menu;"Compatible with Drupal 9"
tr_rulez;"This module is D9 compatible."
cryptolog;"The 8.x-1.x branch of this module supports Drupal 9."
view_entity_ref_field_formatter;"This should be in core !"
layout_builder_tabs;"This module is ready for Drupal 9."
field_load_more;"Field load more 8.x-2.0+ supports Drupal 9."
video_embed_spotify;"2019-07-31: No drupal-check errors in this module"
ad_entity;"This module is compatible with D9 since 1.0-beta37."
node_delete_redirect;"The module is Drupal9 ready"
entity_reference_override;"Drupal 9 porting in progress on the 2.0.x branch."
image_hotspots;"<a href=""https://www.drupal.org/project/image_hotspots/issues/3103469"">#3103469: Add new key core_version_requirement in image_hotspots.info.yml </a>"
drupalauth4ssp;"No known compatibility issues"
die_in_twig;"Release 8.x-2.1 is compatible for Drupal 8"
drd;"This project is ready for Drupal 9"
cyrillic_to_latin;"This module is Drupal 9 ready."
mollie;"The module should work in Drupal 9. Report issues in the issue queue."
requirement;"8.x-1.1+ is Drupal 9 compatible."
logo_image_style;"Logo image style is fully compatible with Drupal 9!"
govuk_notify;"This module works with Drupal 9."
paragraphs_preview_helper;"Drupal 9 supported from version 8.x-1.2 forward."
galleryslider;"Pledge to have it ready before the Drupal 9 release date."
drulma;"Latest version is compatible with Drupal 9"
customfilter;"Drupal 9 is fully supported with a migration path from D6/D7."
social_auth_apple;"This module is fully compatible."
library;"The 1.x branch is D9 compliant."
mobile_app_links;"This module is D9 ready."
mapycz;"Module is Drupal 9 compatible."
vuejs;"The module is compatible with Drupal 9 since 8.x-1.0-rc3."
link_icons;"Version 3.0.2 and above are Drupal 9 compatible."
workflow_buttons;"Avoiding deprecated functions; expected to work with Drupal 9."
access_filter;"Ｄｒｕｐａｌ 9 has been supported since version 8.x-1.3."
tca;"This module already supports Drupal 9"
oauth_login_oauth2;"The current 8.x module is compatible with Drupal 9"
redirect_node;"This project is compatible with Drupal 9!"
analytics;"This module is Drupal 9 ready!"
selection_sharer;"Working with Drupal 9."
bootstrap_storybook;"Drupal 9 ready, requires components:^3.0 module"
block_background_style;"Drupal 9 compatible"
feeds_dependency;"Compatible with Drupal 9 since beta1"
email_attachment;"This module currently doesn't use deprecated code according to Matt's <code>drupal-check</code> and is thus ready for Drupal 9."
search_api_saved_searches;"As the Drupal 8 version is still in early Alpha, it cannot be said when this project will properly work at all, for either Drupal 8 or 9. However, the <a href=""/project/search_api_saved_searches/releases/8.x-1.0-alpha3"">Alpha 3 release</a> fixes at least basic incompatibility with Drupal 9."
views_published_or_roles;"Views Published or Roles supports Drupal 9."
sel;"Safe External Links is compatible with Drupal 9"
liqpay;"This module has been updated to work with the store on Drupal 9."
multiple_select;"This module is already fully compatible with Drupal 9!"
stripe_checkout;"The 8.x-2.x branch of this module is Drupal 9 compatible."
jsonapi_role_access;"This module is Drupal 9 ready."
materialize_datetime_picker;"Module is compatible with Drupal 9."
oembed_lazyload;"This module was spawned on Drupal 9 and is backwards-compatible to Drupal ^8.8!"
advanced_scroll_top;"Available for Drupal 9."
markup_twig;"This module is Drupal 9 compatible in the latest branch."
scrollbar;"This module is ready for 9.x.  Please test and give your feedback at issue <a href=""https://www.drupal.org/node/3128873"">Drupal 9.x feedback</a>."
mailchimp_popup_block;"The module is Drupal 9 compatible."
apigee_m10n;"Apigee Monetization <strong>8.x-1.5</strong> is ready for Drupal 9.  See https://github.com/apigee/apigee-edge-drupal/issues/393 for Apigee Edge."
webform_select_collection;"Drupal 9 ready"
production_checklist;"8.x-1.x is Drupal 9 compatible."
breadcrumbs_visibility;"This module is Drupal 9 compatible! See [#3130315]"
readmore_extrafield;"1.x and 3.x are Drupal 9 compatible!"
google_webfonts_helper;"No deprecation usage."
composite_reference;"This module is ready for Drupal 9."
entity_pilot;"The 2.x branch has D9 support 💪"
doc_serialization;"Should be compatible, testing can commence!"
paypal_payment;"This project is ready for Drupal 9"
lb_section_navigation;"The module is Drupal 9 ready"
datetime_flatpickr;"The latest releases are compatible with Drupal 9."
iframe_title_filter;"This module is Drupal 9 compatible! See [#3130316]"
wistia;"8.x-1.x and 2.x are Drupal 9 compatible."
amun;8/9
condition_field;"Condition Field 8.x-1.2 supports Drupal 9."
leaflet_more_markers;"Compatible with Drupal 8.8, 8.9 and 9+."
ruhi;"Ruhi theme is compatible with Drupal 9 also."
social_auth_microsoft;"3.x versions support Drupal 9."
workbench_tabs;"This project is Drupal 9 ready."
direct_checkout_by_url;"This module has no known compatibility issues with Drupal 9"
chart_suite;"Chart Suite 8.x-1.1 onwards is compatible with Drupal 9."
mongodb;"As of release 8.x-2.1-alpha1, this project is already Drupal 9-compatible. A Drupal 9 stable release will be published once Drupal 9.0.0 is released. Report any discovered issues with the dev. or alpha versions in the meantime."
piwik_noscript;"The 8.x-1.x branch of this module supports Drupal 9."
webform_attachment_gated_download;"This project should work with Drupal 9. Please post any issues, with or without patches, and they will be resolved."
varbase_faqs;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_faqs?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
commerce_stock_notifications;"Commerce Stock Notifications 8.x-1.x is Drupal 9 ready. Enjoy."
config_suite;"Config Suite supports Drupal 9. If you want to use it with Drupal 8, I'd use version 8.x-1.12"
views_dates;"Drupal 9 is supported."
bugherd;"D9 ready"
entity_translation_unified_form;"Drupal 9 is supported and has been tested with the latest release of entity_translation_unified_form."
config_readonly_menu_ui;"This module is Drupal 9 ready."
dblog_persistent;"As of version 2.0.0, this module is compatible with Drupal 9."
term_merge_manager;"This module is fully compatible with Drupal 9."
custom_add_content;"This module is already compatible with Drupal 9."
flat_taxonomy;"Compatible with Drupal 9 from 8.x-1.2 release."
coffee_mediteran;"Supports Drupal 9"
one_time_password;"This project is compatible with Drupal 9."
view_mode_switch;"This module is compatible with Drupal 9"
gdpr_onetrust;"Drupal 9 Compatability is committed in the <a href=""https://www.drupal.org/project/gdpr_onetrust/releases/2.x-dev"" title=""2.x branch"">2.x branch</a> and a dev version is available for download. Help this project by testing this version"
leaflet_geojson;"1.4+ is compatible with D9"
location_migration;"Location Migration is compatible with Drupal 9."
social_auth_instagram;"3.x releases support Drupal 9."
gpx_track_elevation;"Starting with version 8.x.1.1, ""GPX Track & Elevation Modules"" is compatible with Drupal 9."
ics_link_field;"8.x-1.x is Drupal 9 compatible."
aws_sqs;"The module is supporting Drupal 8.8 and higher versions."
regcode_simple;"Release <code>8.x-1.4</code> is compatible with Drupal 9."
happy_new_year;"8.x-1.3+ is Drupal 9 compatible."
tasty_backend;"Drupal 9 support has been added in 8.x-1.0-beta3."
theme_color_meta_tag;"This project will be ported to Drupal 9 soon."
rabbitmq;"Planned for <code>3.x</code>"
install_profile_generator;"Drupal 9 is supported on the 3.0.x branch The 8.x-2.x branch cannot be run on Drupal 9, but install profiles generated can subsequently be installed on a Drupal 9 code base."
backerymails;"Backerymails <code>2.x</code> is fully compatible with Drupal 9."
botscout;"Compatible if using version 8.x-2.1 or above"
zooming;"Zooming 8.x supports Drupal 9. Enjoy."
twigjs;"This module is compatible with Drupal 9 from version 1.1."
rewrite_field;"2.x branch is compatible with D9. [#3141551]"
views_birthday;"Drupal 9 compatible"
lazy_image_style;"The current module version is ready to run!"
navigation_blocks;"8.x-1.0-alpha22+ is Drupal 9 compatible."
ipstack;"This module is ready for Drupal 9!"
media_delete_all;"8.x-2.x is Drupal 9 compatible"
private_taxonomy;"The Private Taxonomy project has been ported to Drupal 9."
image_focus;"Drupal 9 is also supported."
video_embed_panopto;"The module is Drupal 9 compatible."
flag_lists;"4.0.0-beta9 has been tested and fixed for Drupal 9 with <a href=""https://www.drupal.org/project/upgrade_status"" title=""Upgrade Status"">Upgrade status</a>."
splash_redirect;"This module is compliant with all current Drupal Coding Standards and Module Documentation Guidelines as of Drupal 8.8.x. Barring any significant update to Core or Symfony ahead of the Drupal 9 release, splash_redirect should be usable with D9."
fieldhelptext;"This project is Drupal 9 ready."
issuu_viewer;"Compatible since version 8.x-1.4"
role_specific_user_block;"Role Specific User Block 8.x-1.x supports Drupal 9. Enjoy."
varbase_api;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_api?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
media_entity_lottie;"Requires Drupal: ^8.8 || ^9"
miniorange_saml_idp;"<strong>This (8.x) module is compatible with Drupal 9</strong>"
views_delimited_list;Done!
iframeremove;"IFrame Remove Filter 8.x-1.1 or higher supports Drupal 9."
easy_layouts;"Easy Layouts supports Drupal 9."
revive_adserver;"The module is Drupal 9 compatible."
headroomjs;"8.x-1.0-beta3 is Drupal 9 updated."
graphql_responsive_image;"This module is ready for D9!"
admin_can_login_anyuser;"Module is compatible with Drupal 9."
stylescomboplus;"Styles Combo Plus is Drupal 8 and Drupal 9 ready."
node_view_language_permissions;"2019-07-31: No drupal-check errors in this module"
rest_export;"The module is fully compatible with Drupal 9."
snowflakes;"Ready for Drupal 9 :-)"
taxonomy_class;"This module is Drupal 9 compatible 🍻"
cookiebot_gtm;"Drupal 9 ready"
views_migration;"This module supports drupal9"
jitsi;"Module compatible with Drupal 9"
course;"D9 work is also happening during the D8 port."
create_and_translate;"This module is Drupal 9 compatible."
facebookoembed;"No plan to port to Drupal 9"
password_policy_pwned;"The 8.x-1.x branch is compatible with Drupal 9."
saml_extras;"SAML extras 8.x-1.4+ supports Drupal 9. Enjoy."
npm;"Drupal 9 support in [#3131895]"
look;"This module is Drupal 9 compatible."
page_attributes;"It will be availble for D9 upon its official release"
io;"Intersection Observer 8.x supports Drupal 9. Enjoy."
christmas_lights;"Compatible with Drupal 9"
announcement_modal;"This module is Drupal 9 compatible."
custom_translation_deployments;"This module is 100% compatible with Drupal 9"
domain_group;"Compatible from version 2.0.0"
migrate_media_handler;"Drupal 9 released!"
taxonomy_place;"This module should be Drupal 9 compatible."
ik_constant_contact;"Is Drupal 9 ready as of 2.0.1"
ckeditor_layout_manager;"This module is drupal 9 ready."
webform_prepopulate;"8.x-1.x is Drupal 9 compatible"
security_login_secure;"Currently no known issues with Drupal 9"
simple_integrations;"Drupal 9 ready as of 1.2."
eme;"Compatible with Drupal 9."
translate_side_by_side;"2019-07-31: No drupal-check errors in this module"
freelinking;"8.x-3.x-dev is compatible with Drupal 8.8.0 to 9.4.0. 4.0.x is compatible with Drupal 9.0.0 to 10.x.y or greater. PHP 7.4 is required."
entity_repository;"Entity Repository 2.0.0 is Drupal 9 compatible."
svg_embed;"This project is ready for Drupal 9"
commerce_quick_edit;"This module is Drupal 9 ready."
custom_checkboxes;"This module is already compatible with Drupal 9."
captcha_questions;"Captcha Questions 8.x-1.3+ supports Drupal 9. Enjoy."
block_country;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/block_country/releases/2.0.0"">Version 2.0.0</a>!"
discourse_sso;"This project is ready for Drupal 9"
page_menu_reorder;"Ready for Drupal 9"
commerce_price_updater;"This module is Drupal 9 ready."
node_auto_expire;"This module is ready for Drupal 9."
vimeo_upload;"8.x-1.x is Drupal 9 compatible."
email_formatter;"Planned at some point"
bbr;"This module is ready to use on Drupal 9 as an experimental code. Once all bugs will be fixed an stable release will be done."
skins;"Skins is compatible with Drupal 9 starting with release 8.x-1.0-rc1."
microcontent;"Please use the issue queue if you find anything"
mailjet_api;"Drupal 9 ready"
ccos;"This module is fully compatible with Drupal 9 from the initial release itself."
lightship;"This theme is Drupal 9 ready."
multiple_sitemap;"<a href=""https://www.drupal.org/about/9"">Drupal 9</a> is here!"
bibcite_crossref;"Currently no known Drupal 9 compatibility issues in latest dev."
drulma_companion;"Latest version is compatible with Drupal 9"
dis;"Compatible with Drupal 9"
commerce_funds;"This module is Drupal 9 ready."
webform_ip_geo;"The module is Drupal 9 ready."
available_updates;"Available Updates supports Drupal 9."
content_moderation_bypass;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
xbbcode;"Version 4.0.0 of this module is fully compatible with Drupal 9 and Drupal 8.8+."
stripe_registration;"The 8.x-1.x branch of this module is Drupal 9 compatible."
webform_views_extras;"The module will support Drupal 9."
anhur;8/9
comment_reply_count;"Comment Reply Count 8.x-1.2+ supports Drupal 9. Enjoy."
gsaml;"This module <a href=""https://www.drupal.org/project/gsaml/releases/8.x-2.1"">8.x-2.x</a> release is already fully compatible with Drupal 9!"
panache;"This theme is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/panache/releases/8.x-1.1"">verison 1.1</a>!"
responsive_image_formatter_link_to_image_style;"Version 2.0.x is D9 compatible."
config_share;"See [#3208396]."
paragraphs_type_help;"Use version 2.x of this module"
user_history;"<strong>This module supports Drupal 9.</strong>"
google_index_api;"Drupal 9 is fully supported since version 8.x-1.1."
drusys_landing_page_builder;"Drupal 9 Available."
auctions;"Drupal 9 ready from the start!"
multilingual_google_web_translator;"Ported to D9"
libraries_provider;"Module is compatible with Drupal 9"
doccheck_basic;"2019-07-31: No drupal-check errors in this module"
rut;"This module is Drupal 9 ready"
handsontable_yml_webform;"Fully compatible. Use release 8.x-1.2 of this module."
foundation_sites;"This module is Drupal 9 compatible in the latest branch."
media_name;"8.x-1.x is Drupal 9 compatible."
popup_onload;[#3083925]
entity_route_context;"Project is compatible with Drupal 9. Update to version 3. 3.x branch is a drop in replacement for 1.x branch."
carryquery;"8.x-1.x-dev is now Drupal 9 compatible."
push_framework;"This project is ready for Drupal 9"
fepper;"8.x-3.0+ is compatible with Drupal 9."
partial_multi;"This project is Drupal 9 compatible."
bibcite_migrate;"Currently no known Drupal 9 compatibility issues in latest dev."
nopremium;"This module is compatible with Drupal 9."
entity_toolbar;"This module is compatible with Drupal 9."
decoupled_kit;"This module is ready for Drupal 9!"
views_negate;"Views Negate 8.x-1.1+ supports Drupal 9. Enjoy."
simple_like_button;"Fully compatible with Drupal 9"
dwr;"Module should be compatible with Drupal 9."
simple_analytics;"D9 ready"
wisski;"Branch 8.x-2.x is fully D9 compatible. Branch 8.x-3.x is even PHP 8 compatible - work will continue there :)"
ajaxin;"Ajaxin 8.x supports Drupal 9. Enjoy."
custom_elements;"The module is compatible with Drupal 9 since beta1."
svg_icon;"The 8.x-1.x branch is compatible with Drupal 9."
bundle_redirect;"Bundle redirect module is ready for Drupal 9."
fixteaserlinks;"Release 8.x-1.1 is fully compatible with Drupal 9."
ui_patterns_views_style;"Already compatible (no deprecated API & core_version_requirement is set)"
simple_password_reveal;"Drupal 9 ready!"
advanced_help_hint;"Compatible with Drupal 9. But there now exists a replacement for Advanced Help that you may want to use instead. Please see: [#2920309] )."
graphql_node_preview;"This module is ready for Drupal 9."
one_time_login_link_admin;"It's completely supported in Drupal9."
welcome_mail;"This module is compatible with Drupal 9"
bigvideo;"<a href=""https://www.drupal.org/project/bigvideo/issues/3103472"">#3103472: Add new key core_version_requirement in bigvideo.info.yml</a>"
